Designator,Mid X,Mid Y,Rotation,Layer
C1,141.08,-66.8,0.0,top
C10,148.2,-88.475,90.0,top
C11,150.8,-84.875,180.0,top
C12,145.5,-88.5,90.0,top
C13,130.0,-86.525,90.0,top
C2,143.4,-68.48,90.0,top
C3,142.1,-68.4,90.0,top
C4,143.3,-70.48,270.0,top
C5,138.9,-68.8,180.0,top
C6,136.2,-72.5,90.0,top
C7,142.8,-75.3,0.0,top
C8,161.0,-91.975,270.0,top
C9,155.6,-87.775,0.0,top
CN1,183.0,-74.75,270.0,top
D1,134.7,-82.0,180.0,top
D2,158.2,-77.0,180.0,top
D3,161.7,-88.275,0.0,top
F1,170.8,-89.175,90.0,top
FB1,166.325,-90.975,180.0,top
L1,155.9,-84.875,180.0,top
Q1,166.9,-87.175,0.0,top
Q2,166.24,-78.45,0.0,top
R1,151.8,-91.175,270.0,top
R10,166.5,-81.25,0.0,top
R11,162.8,-76.1,0.0,top
R12,162.8,-77.4,0.0,top
R13,163.42,-69.5,0.0,top
R2,161.5,-79.5,0.0,top
R3,142.8,-74.2,0.0,top
R4,158.2,-91.575,270.0,top
R7,151.7,-93.575,0.0,top
R8,138.0,-82.0,180.0,top
R9,162.9,-72.3,270.0,top
U1,151.1,-70.85,180.0,top
U2,169.0175,-65.2,0.0,top
U3,130.0,-75.5975,270.0,top
U4,155.0,-91.075,0.0,top
U5,176.9875,-87.3075,180.0,top
U6,138.5,-88.5,0.0,top
Y1,139.2,-72.0,180.0,top
